nom_de_couleur,caldera_cyan,caldera_magenta,caldera_jaune,caldera_noir,deuxCM7_cyan,deuxCM7_magenta,deuxCM7_jaune,deuxCM7_noir
PANTONE 545 C,12.00,3.00,5.00,0.00,8.00,2.00,2.00,0.00
PANTONE 5455 C,12.00,5.00,7.00,2.00,couleur non trouvée,couleur non trouvée,couleur non trouvée,couleur non trouvée
PANTONE 546 C,78.00,28.00,35.00,60.00,78.00,28.00,35.00,60.00
PANTONE 5463 C,100.00,54.00,60.00,0.00,100.00,54.00,60.00,0.00
PANTONE 547 C,100.00,36.00,50.00,15.00,100.00,36.00,50.00,15.00
PANTONE 5473 C,75.00,15.00,40.00,0.00,75.00,15.00,40.00,0.00
PANTONE 5477 C,59.25,1.50,40.50,51.00,couleur non trouvée,couleur non trouvée,couleur non trouvée,couleur non trouvée
PANTONE 548 C,100.00,36.00,50.00,10.00,100.00,36.00,50.00,10.00
PANTONE 5483 C,54.00,10.00,28.00,3.00,50.00,10.00,24.00,0.00
PANTONE 5487 C,54.00,30.00,42.00,0.00,60.00,30.00,42.00,0.00
PANTONE 549 C,45.00,8.00,10.00,8.00,46.00,8.00,10.00,0.00
PANTONE 5493 C,28.00,5.00,14.00,1.50,couleur non trouvée,couleur non trouvée,couleur non trouvée,couleur non trouvée
PANTONE 5497 C,26.00,12.00,21.00,5.00,32.00,12.00,20.00,0.00
PANTONE 550 C,22.00,3.00,5.00,7.00,22.00,3.00,4.00,0.00
PANTONE 5503 C,27.00,5.00,14.00,0.00,25.00,5.00,10.00,0.00
PANTONE 551 C,16.00,3.00,5.00,0.00,13.00,3.00,3.00,0.00
PANTONE 552 C,17.00,3.00,7.00,0.00,13.00,3.00,4.00,0.00
PANTONE 553 C,61.00,23.00,80.00,50.00,61.00,23.00,80.00,50.00
PANTONE 5535 C,79.00,2.00,54.00,68.00,80.00,0.00,48.00,41.60
PANTONE 554 C,88.00,28.00,100.00,0.00,88.00,28.00,100.00,0.00
PANTONE 5545 C,54.00,23.00,44.00,0.00,54.00,23.00,44.00,0.00
PANTONE 555 C,74.00,22.00,78.00,0.00,74.00,22.00,78.00,0.00
PANTONE 5555 C,56.00,20.00,48.00,0.00,56.00,20.00,44.00,0.00
PANTONE 556 C,38.00,10.00,32.00,2.00,38.00,10.00,30.00,0.00
PANTONE 557 C,26.00,5.00,24.00,2.00,26.00,5.00,22.00,0.00
PANTONE 5575 C,22.00,5.00,20.00,0.00,18.00,5.00,16.00,0.00
PANTONE 558 C,20.00,5.00,24.00,2.00,17.00,5.00,21.00,0.00
PANTONE 5585 C,15.00,3.00,13.00,0.00,12.00,3.00,8.00,0.00
PANTONE 559 C,17.00,5.00,22.00,1.00,couleur non trouvée,couleur non trouvée,couleur non trouvée,couleur non trouvée
